"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","JuJu Smith-Schuster","Chiefs","WR","46","14.04","0.044","6.08","0.019","0.68","0.01","63.0%","10.1","0.3","23.9%","13.0%"
"[object Object]","2025","Demario Douglas","Patriots","WR","46","13.97","0.065","9.01","0.042","22.41","0.49","54.3%","11.4","0.4","26.1%","13.0%"
"[object Object]","2025","Chris Olave","Saints","WR","156","13.75","0.025","0.71","0.001","32.43","0.21","50.0%","7.8","0.2","18.6%","10.3%"
"[object Object]","2025","Darnell Washington","Steelers","TE","43","13.57","0.075","9.04","0.050","9.10","0.21","58.1%","11.4","0.4","32.6%","9.3%"
"[object Object]","2025","Kyle Pitts","Falcons","TE","118","13.39","0.027","1.03","0.002","23.00","0.19","58.5%","7.9","0.2","27.1%","12.7%"
"[object Object]","2025","Jakobi Meyers","2 teams","WR","109","13.29","0.026","1.35","0.003","10.93","0.10","61.5%","7.6","0.2","23.9%","11.0%"
"[object Object]","2025","Jaylen Waddle","Dolphins","WR","100","13.15","0.034","3.40","0.009","25.20","0.25","59.0%","8.0","0.2","32.0%","15.0%"
"[object Object]","2025","Brenton Strange","Jaguars","TE","60","13.11","0.045","6.30","0.021","27.61","0.46","68.3%","10.2","0.3","26.7%","6.7%"
"[object Object]","2025","Bucky Irving","Buccaneers","RB","35","13.11","0.084","9.62","0.062","10.10","0.29","48.6%","11.3","0.4","20.0%","8.6%"
"[object Object]","2025","Ricky Pearsall","49ers","WR","53","13.05","0.049","7.18","0.027","21.18","0.40","62.3%","10.4","0.3","35.8%","13.2%"
"[object Object]","2025","Kayshon Boutte","Patriots","WR","46","12.84","0.036","4.39","0.012","29.65","0.64","71.7%","8.8","0.3","37.0%","15.2%"
"[object Object]","2025","Greg Dulcich","Dolphins","TE","33","12.74","0.100","9.48","0.075","15.58","0.47","69.7%","11.1","0.3","30.3%","6.1%"
"[object Object]","2025","Ryan Flournoy","Cowboys","WR","57","12.48","0.048","6.53","0.025","20.83","0.37","57.9%","9.8","0.3","22.8%","12.3%"
"[object Object]","2025","Juwan Johnson","Saints","TE","102","12.06","0.024","0.29","0.001","33.53","0.33","61.8%","7.0","0.2","24.5%","9.8%"
"[object Object]","2025","Xavier Worthy","Chiefs","WR","73","12.01","0.032","3.26","0.009","8.67","0.12","49.3%","7.2","0.2","23.3%","13.7%"
"[object Object]","2025","Chigoziem Okonkwo","Titans","TE","79","11.83","0.032","2.36","0.006","8.71","0.11","43.0%","7.4","0.2","20.3%","10.1%"
"[object Object]","2025","KaVontae Turpin","Cowboys","WR","38","11.43","0.049","6.41","0.027","13.05","0.34","52.6%","9.3","0.3","26.3%","18.4%"
"[object Object]","2025","Jaylen Warren","Steelers","RB","45","10.94","0.071","7.06","0.046","9.49","0.21","55.6%","8.7","0.3","8.9%","4.4%"
"[object Object]","2025","Jake Tonges","49ers","TE","46","10.91","0.050","6.09","0.028","13.80","0.30","60.9%","9.1","0.3","17.4%","8.7%"
"[object Object]","2025","Deebo Samuel","Commanders","WR","99","10.77","0.026","0.22","0.001","20.86","0.21","56.6%","5.3","0.2","22.2%","15.2%"
"[object Object]","2025","Malik Nabers","Giants","WR","35","10.70","0.082","7.74","0.060","2.83","0.08","45.7%","9.3","0.3","14.3%","11.4%"
"[object Object]","2025","Dontayvion Wicks","Packers","WR","47","10.63","0.050","5.63","0.026","12.02","0.26","61.7%","8.3","0.3","25.5%","19.1%"
"[object Object]","2025","Chase Brown","Bengals","RB","88","10.18","0.028","1.58","0.004","-6.79","-0.08","47.7%","5.8","0.2","12.5%","8.0%"
"[object Object]","2025","Jauan Jennings","49ers","WR","90","10.11","0.023","-0.12","-0.000","0.14","0.00","52.2%","5.2","0.2","28.9%","20.0%"
"[object Object]","2025","Travis Etienne","Jaguars","RB","52","10.07","0.040","4.52","0.018","4.69","0.09","51.9%","8.8","0.3","13.5%","7.7%"
"[object Object]","2025","Dylan Sampson","Browns","RB","40","9.93","0.072","6.75","0.049","2.67","0.07","50.0%","8.2","0.3","17.5%","15.0%"
"[object Object]","2025","Jalen Coker","Panthers","WR","42","9.90","0.037","2.70","0.010","17.01","0.40","61.9%","6.1","0.2","26.2%","9.5%"
"[object Object]","2025","Tre Tucker","Raiders","WR","91","9.82","0.018","-4.36","-0.008","21.04","0.23","49.5%","2.0","0.1","20.9%","7.7%"
"[object Object]","2025","Chris Godwin","Buccaneers","WR","51","9.74","0.041","4.18","0.018","4.84","0.09","51.0%","7.2","0.2","25.5%","15.7%"
"[object Object]","2025","Tyler Higbee","Rams","TE","35","9.56","0.055","5.46","0.031","10.15","0.29","62.9%","7.8","0.2","25.7%","17.1%"
"[object Object]","2025","T.J. Hockenson","Vikings","TE","66","9.47","0.025","-0.56","-0.001","11.41","0.17","54.5%","4.5","0.1","19.7%","6.1%"
"[object Object]","2025","Brashard Smith","Chiefs","RB","34","9.45","0.095","7.19","0.073","2.67","0.08","52.9%","8.8","0.3","14.7%","14.7%"
"[object Object]","2025","Kenneth Walker III","Seahawks","RB","36","9.35","0.057","5.28","0.032","7.03","0.20","50.0%","7.1","0.2","25.0%","8.3%"
"[object Object]","2025","Rhamondre Stevenson","Patriots","RB","37","9.06","0.038","3.30","0.014","13.51","0.37","54.1%","6.0","0.2","27.0%","8.1%"
"[object Object]","2025","Rashid Shaheed","2 teams","WR","92","8.88","0.019","-2.20","-0.005","0.79","0.01","48.9%","3.1","0.1","15.2%","13.0%"
